timestamp,user_id,user_location,user_culture_profile,search_query,clicked,purchased,authenticity_rating_given
2026-03-05 11:20:15,usr_2935f14a,NE2,Indian,Mango Chutney,1,0,
2026-03-05 11:22:15,usr_493b4b96,B1,Indian,Paneer,1,1,4
2026-03-05 11:23:15,usr_c2b9e5f2,NE3,East Asian,Nori Seaweed,1,0,
2026-03-05 11:44:15,usr_4e3791d4,B15,Nigerian,Palm Oil,1,1,5
2026-03-05 12:48:15,usr_c2d96239,SW1A,East Asian,Garam Masala,1,1,4
2026-03-05 13:01:15,usr_294b6fdb,M1,Caribbean,Nori Seaweed,1,0,
2026-03-05 13:10:15,usr_7b4abf36,NE2,Middle Eastern,Pomegranate Molasses,1,1,2
2026-03-05 13:11:15,usr_97f47081,M1,East Asian,Mochi,1,0,
2026-03-05 13:29:15,usr_33a2f41e,NE3,Middle Eastern,Sumac,1,1,4
2026-03-05 13:41:15,usr_7adfe0c5,NE2,East Asian,Matcha Powder,0,0,
2026-03-05 13:46:15,usr_91a54d13,NE1,Middle Eastern,Pomegranate Molasses,1,1,3
2026-03-05 14:01:15,usr_19cc3229,NE1,Indian,Pomegranate Molasses,1,0,
2026-03-05 14:23:15,usr_d8b07a1f,E1,Indian,Garam Masala,1,1,5
2026-03-05 15:16:15,usr_5732c8a2,B1,Nigerian,Sriracha,1,0,
2026-03-05 15:33:15,usr_6e3fe0e1,NE2,East Asian,Sriracha,0,0,
2026-03-05 16:34:15,usr_918f7440,B15,East Asian,Matcha Powder,1,0,
2026-03-05 16:40:15,usr_1778dc03,M14,Nigerian,Plantain,1,0,
2026-03-05 16:40:15,usr_6d42535a,SW1A,Nigerian,Cassava Flour,0,0,
2026-03-05 16:42:15,usr_b27bb298,NE2,Nigerian,Cassava Flour,1,1,3
2026-03-05 16:43:15,usr_ac3eeebd,NE2,East Asian,Scotch Bonnet Peppers,1,1,5
2026-03-05 16:47:15,usr_021c1d73,B15,East Asian,Nori Seaweed,0,0,
2026-03-05 16:51:15,usr_4b3af4bc,NE2,Caribbean,Coconut Milk,1,0,
2026-03-05 16:55:15,usr_59f47917,B1,Caribbean,Maggi Cubes,1,1,5
2026-03-05 17:00:15,usr_cf46e6e1,M1,East Asian,Matcha Powder,1,1,5
2026-03-05 17:07:15,usr_1e4b6de7,NE2,Nigerian,Plantain,1,1,5
2026-03-05 17:08:15,usr_5f24d0ed,M14,Middle Eastern,Tahini,1,1,5
2026-03-05 17:13:15,usr_643aecad,E1,East Asian,Matcha Powder,1,1,5
2026-03-05 17:36:15,usr_ab1d1a0b,M1,Indian,Basmati Rice,1,0,
2026-03-05 17:38:15,usr_0ed1d0d9,M14,East Asian,Nori Seaweed,1,0,
2026-03-05 17:43:15,usr_40d15573,M1,Indian,Turmeric Powder,0,0,
2026-03-05 18:02:15,usr_b7fd6ffc,M14,Indian,Mango Chutney,1,0,
2026-03-05 18:18:15,usr_493437d4,B1,Nigerian,Maggi Cubes,1,0,
2026-03-05 18:22:15,usr_49edd037,M1,Nigerian,Maggi Cubes,0,0,
2026-03-05 18:38:15,usr_61ac5209,NE1,Indian,Turmeric Powder,1,0,
2026-03-05 18:48:15,usr_5ac81a26,NE1,Middle Eastern,Nori Seaweed,1,0,
2026-03-05 19:07:15,usr_bdd02c2c,NE3,Caribbean,Coconut Milk,1,1,5
2026-03-05 19:13:15,usr_ce650c8d,NE1,Middle Eastern,Pita Bread,1,1,5
2026-03-05 19:58:15,usr_f9e2cecb,M14,Indian,Mango Chutney,1,1,5
2026-03-05 20:01:15,usr_7e930b34,NE2,Indian,Mango Chutney,1,1,5
2026-03-05 20:05:15,usr_b534d300,B15,Nigerian,Palm Oil,0,0,
2026-03-05 20:23:15,usr_34a546a0,B1,Caribbean,Maggi Cubes,1,0,
2026-03-05 20:24:15,usr_ca05c8f7,M14,Middle Eastern,Pita Bread,1,1,5
2026-03-05 20:41:15,usr_4a9dd5ca,M1,Caribbean,Basmati Rice,1,1,4
2026-03-05 21:12:15,usr_75171722,B15,Caribbean,Nori Seaweed,1,1,5
2026-03-05 21:18:15,usr_90ea4a9c,M14,Caribbean,Jerk Seasoning,1,0,
2026-03-05 21:25:15,usr_3fb8ba63,SW1A,Caribbean,Scotch Bonnet Peppers,1,1,5
2026-03-05 21:26:15,usr_7b1dd3a3,NE1,Indian,Basmati Rice,1,1,5
2026-03-05 21:28:15,usr_07914cfc,SW1A,Caribbean,Jerk Seasoning,1,0,
2026-03-05 21:36:15,usr_22974c50,E1,Caribbean,Jerk Seasoning,1,1,5
2026-03-05 21:45:15,usr_fa6759fa,NE2,Caribbean,Jerk Seasoning,1,0,
2026-03-05 21:57:15,usr_d06edf14,NE2,Nigerian,Palm Oil,1,1,4
2026-03-05 22:08:15,usr_87aff823,E1,East Asian,Sriracha,1,1,5
2026-03-05 22:22:15,usr_c250514a,B15,East Asian,Sriracha,1,1,4
2026-03-05 22:57:15,usr_6b8a3555,E1,East Asian,Scotch Bonnet Peppers,1,0,
2026-03-05 23:02:15,usr_9d63e222,NE2,Indian,Garam Masala,1,1,5
2026-03-05 23:21:15,usr_3555dfe3,NE3,Indian,Basmati Rice,1,1,5
2026-03-05 23:27:15,usr_afdc73eb,NE3,Middle Eastern,Zaatar,1,1,5
2026-03-05 23:41:15,usr_31b168aa,B15,Caribbean,Jerk Seasoning,1,1,5
2026-03-05 23:46:15,usr_10192405,SW1A,Middle Eastern,Zaatar,1,1,4
2026-03-05 23:51:15,usr_11d3fa65,M14,Middle Eastern,Sumac,1,0,
2026-03-05 23:54:15,usr_954234d8,B15,Caribbean,Saltfish,1,1,3
2026-03-06 00:08:15,usr_cc15d044,M1,East Asian,Maggi Cubes,1,1,4
2026-03-06 00:09:15,usr_060aa18f,NE2,East Asian,Nori Seaweed,1,0,
2026-03-06 00:10:15,usr_fc6f1258,E1,East Asian,Turmeric Powder,1,0,
2026-03-06 00:27:15,usr_9294978a,E1,Indian,Maggi Cubes,1,1,4
2026-03-06 00:33:15,usr_765544c1,M1,Nigerian,Palm Oil,0,0,
2026-03-06 00:46:15,usr_e5dcd369,SW1A,East Asian,Matcha Powder,1,1,3
2026-03-06 01:07:15,usr_28d9bb82,NE2,Indian,Zaatar,0,0,
2026-03-06 01:14:15,usr_31dfdced,NE3,Indian,Paneer,1,1,5
2026-03-06 01:22:15,usr_c1266cb5,NE2,Nigerian,Cassava Flour,1,1,5
2026-03-06 01:26:15,usr_ab46e054,NE3,Nigerian,Jollof Rice Seasoning,1,0,
2026-03-06 01:32:15,usr_83b76e9a,E1,Middle Eastern,Pita Bread,1,0,
2026-03-06 01:33:15,usr_8b8ade65,M1,Indian,Paneer,0,0,
2026-03-06 01:36:15,usr_27e6e873,SW1A,Nigerian,Cassava Flour,0,0,
2026-03-06 02:05:15,usr_f7ef3dfd,B15,Indian,Turmeric Powder,1,1,4
2026-03-06 02:05:15,usr_3fff62b4,NE2,Caribbean,Scotch Bonnet Peppers,0,0,
2026-03-06 02:15:15,usr_f08ff3c1,E1,Nigerian,Cassava Flour,1,1,2
2026-03-06 02:22:15,usr_af40fc0a,SW1A,East Asian,Sriracha,1,1,5
2026-03-06 02:51:15,usr_abd441a9,M14,Caribbean,Ackee,1,1,4
2026-03-06 03:16:15,usr_c2bb874b,B1,Caribbean,Ackee,1,1,5
2026-03-06 03:26:15,usr_05e07d41,NE2,Nigerian,Jollof Rice Seasoning,1,1,4
2026-03-06 03:29:15,usr_61fe2f5d,M1,East Asian,Matcha Powder,1,1,3
2026-03-06 03:41:15,usr_5ab47e39,NE3,East Asian,Scotch Bonnet Peppers,0,0,
2026-03-06 03:58:15,usr_c6c0ddf3,SW1A,East Asian,Matcha Powder,1,1,5
2026-03-06 04:07:15,usr_841e58bb,M1,Caribbean,Coconut Milk,1,1,5
2026-03-06 04:31:15,usr_6735a096,M14,Middle Eastern,Pomegranate Molasses,1,0,
2026-03-06 04:32:15,usr_710830c2,M14,Indian,Mango Chutney,0,0,
2026-03-06 04:51:15,usr_45d2c0d2,B15,East Asian,Soy Sauce,0,0,
2026-03-06 05:01:15,usr_d2361459,NE2,Caribbean,Ackee,1,0,
2026-03-06 05:02:15,usr_44cccd2d,B15,Indian,Turmeric Powder,1,1,4
2026-03-06 05:19:15,usr_0dac76cb,NE2,Middle Eastern,Garam Masala,0,0,
2026-03-06 05:39:15,usr_61fd3ad8,NE1,Nigerian,Palm Oil,1,1,1
2026-03-06 05:40:15,usr_072827e1,M1,Caribbean,Scotch Bonnet Peppers,1,0,
2026-03-06 05:51:15,usr_460d65d1,M14,Indian,Basmati Rice,1,0,
2026-03-06 06:02:15,usr_d58c40f0,NE1,Indian,Basmati Rice,1,0,
2026-03-06 06:12:15,usr_193fb703,B1,Caribbean,Coconut Milk,1,1,5
2026-03-06 06:17:15,usr_c6706195,M1,East Asian,Sriracha,1,1,5
2026-03-06 06:31:15,usr_3bc21b1a,NE3,Middle Eastern,Pita Bread,1,0,
2026-03-06 06:33:15,usr_6f95a3ed,B15,Indian,Basmati Rice,1,1,2
2026-03-06 06:39:15,usr_169f000d,M1,Indian,Palm Oil,1,1,4
2026-03-06 06:47:15,usr_0b5d744e,NE3,East Asian,Mochi,0,0,
2026-03-06 07:09:15,usr_6f2cff40,NE2,Indian,Saltfish,1,1,5
2026-03-06 07:28:15,usr_cdff406a,SW1A,Middle Eastern,Maggi Cubes,1,1,5
2026-03-06 07:43:15,usr_4eac015d,M14,East Asian,Soy Sauce,1,0,
2026-03-06 07:51:15,usr_da18cab4,B15,Indian,Basmati Rice,1,1,4
2026-03-06 08:53:15,usr_b485b23c,B15,Caribbean,Ackee,1,0,
2026-03-06 08:55:15,usr_c28f026b,NE2,Middle Eastern,Pita Bread,1,0,
2026-03-06 09:23:15,usr_bc2b58b1,SW1A,Caribbean,Cassava Flour,1,1,4
2026-03-06 09:25:15,usr_d137d121,M1,Indian,Mango Chutney,1,0,
2026-03-06 09:32:15,usr_d567cab1,B1,Nigerian,Saltfish,1,1,5
2026-03-06 09:38:15,usr_fcffb8e1,M1,Middle Eastern,Zaatar,1,1,4
2026-03-06 09:48:15,usr_6b781eb1,M14,Indian,Tahini,1,0,
2026-03-06 09:53:15,usr_df1ba7b7,NE1,East Asian,Sriracha,1,0,
2026-03-06 09:56:15,usr_b2db313f,SW1A,Nigerian,Cassava Flour,1,0,
2026-03-06 10:33:15,usr_f94a8445,NE1,East Asian,Mochi,1,1,5
2026-03-06 10:38:15,usr_0fa5cbd9,M1,Indian,Paneer,0,0,
2026-03-06 10:44:15,usr_1703b515,NE1,Middle Eastern,Pomegranate Molasses,1,0,
2026-03-06 10:44:15,usr_ea92cded,M1,Nigerian,Maggi Cubes,1,0,
2026-03-06 11:16:15,usr_f92a729c,NE3,Indian,Turmeric Powder,1,1,5
2026-03-06 11:19:15,usr_71521317,SW1A,Caribbean,Maggi Cubes,1,0,
2026-03-06 11:49:15,usr_c3571634,NE3,Middle Eastern,Tahini,1,0,
2026-03-06 11:52:15,usr_8d58b376,SW1A,Middle Eastern,Zaatar,1,0,
2026-03-06 11:53:15,usr_6471cdb3,NE1,Middle Eastern,Pita Bread,1,1,5
2026-03-06 12:03:15,usr_001ad74f,M14,Indian,Basmati Rice,1,1,5
2026-03-06 12:20:15,usr_e1a18f56,M1,Middle Eastern,Pita Bread,1,1,5
2026-03-06 12:30:15,usr_0c159f20,E1,Caribbean,Matcha Powder,1,1,4
2026-03-06 12:30:15,usr_8aebe297,M1,Middle Eastern,Sumac,1,1,3
2026-03-06 12:32:15,usr_08881ecc,NE2,Indian,Paneer,1,0,
2026-03-06 12:33:15,usr_2c6a87e1,B1,Caribbean,Soy Sauce,1,1,5
2026-03-06 12:34:15,usr_001deaae,NE1,Nigerian,Jollof Rice Seasoning,1,0,
2026-03-06 12:47:15,usr_34f90446,M1,Indian,Garam Masala,1,1,4
2026-03-06 13:01:15,usr_8a977d6b,NE2,Middle Eastern,Zaatar,1,0,
2026-03-06 13:05:15,usr_e10e96b4,B1,Middle Eastern,Zaatar,1,0,
2026-03-06 13:41:15,usr_89cd67e6,NE3,Nigerian,Palm Oil,1,0,
2026-03-06 14:10:15,usr_f5991b70,NE3,Indian,Mango Chutney,1,1,5
2026-03-06 14:23:15,usr_2510420d,B1,Nigerian,Jollof Rice Seasoning,1,1,4
2026-03-06 14:50:15,usr_a1e4a9a9,NE3,Caribbean,Coconut Milk,1,1,5
2026-03-06 15:08:15,usr_8d29de75,B1,Indian,Paneer,1,1,3
2026-03-06 15:28:15,usr_311770f4,NE2,East Asian,Nori Seaweed,1,1,5
2026-03-06 15:31:15,usr_7dcfea64,B1,Middle Eastern,Zaatar,1,1,4
2026-03-06 15:36:15,usr_bd715995,B15,Indian,Basmati Rice,1,1,3
2026-03-06 15:46:15,usr_fad91d1c,B1,Caribbean,Scotch Bonnet Peppers,1,0,
2026-03-06 15:49:15,usr_6dc8fe2d,NE2,Nigerian,Cassava Flour,1,1,5
2026-03-06 16:16:15,usr_c7423219,M14,Indian,Mango Chutney,1,0,
2026-03-06 16:23:15,usr_724186ea,B1,Middle Eastern,Scotch Bonnet Peppers,1,0,
2026-03-06 16:30:15,usr_940ba61a,B1,Indian,Paneer,1,0,
2026-03-06 16:32:15,usr_1b76b4e6,NE1,East Asian,Matcha Powder,0,0,
2026-03-06 16:33:15,usr_fb1be190,E1,East Asian,Soy Sauce,1,1,1
2026-03-06 16:39:15,usr_7118ddf1,E1,Caribbean,Jerk Seasoning,1,0,
2026-03-06 16:54:15,usr_403ef4ee,B15,Indian,Basmati Rice,1,1,4
2026-03-06 17:23:15,usr_52fb6a9e,B1,Indian,Basmati Rice,0,0,
2026-03-06 17:28:15,usr_63e74e3f,M14,Nigerian,Maggi Cubes,1,0,
2026-03-06 17:52:15,usr_2f6dca92,M1,Caribbean,Coconut Milk,1,1,5
2026-03-06 17:53:15,usr_1c8157ae,SW1A,East Asian,Mochi,1,0,
2026-03-06 17:53:15,usr_0119fc0d,B1,Indian,Basmati Rice,1,1,4
2026-03-06 18:28:15,usr_c2bf3029,B1,East Asian,Matcha Powder,1,1,5
2026-03-06 18:51:15,usr_1374924b,NE1,East Asian,Nori Seaweed,1,0,
2026-03-06 19:01:15,usr_1ad74d22,M1,Caribbean,Scotch Bonnet Peppers,1,1,4
2026-03-06 19:48:15,usr_1b3531ba,NE1,Nigerian,Cassava Flour,1,1,2
2026-03-06 19:48:15,usr_2390e1a8,NE3,East Asian,Matcha Powder,1,1,4
2026-03-06 19:49:15,usr_182eadf8,NE1,Caribbean,Ackee,1,1,5
2026-03-06 19:51:15,usr_c5ed7a84,B1,Nigerian,Palm Oil,1,0,
2026-03-06 19:56:15,usr_296f1eed,M14,East Asian,Nori Seaweed,1,0,
2026-03-06 20:01:15,usr_aa0daebe,NE1,Middle Eastern,Sumac,1,0,
2026-03-06 20:13:15,usr_c3176ebd,E1,Middle Eastern,Mango Chutney,1,1,5
2026-03-06 20:14:15,usr_c46c5c44,B1,Caribbean,Jollof Rice Seasoning,1,0,
2026-03-06 20:15:15,usr_34aa13a8,M1,Nigerian,Soy Sauce,1,0,
2026-03-06 20:44:15,usr_bc5273de,M1,Nigerian,Cassava Flour,1,0,
2026-03-06 20:52:15,usr_6555cfbb,NE2,Caribbean,Scotch Bonnet Peppers,1,1,3
2026-03-06 20:57:15,usr_4d3ecca9,SW1A,Nigerian,Palm Oil,1,1,5
2026-03-06 20:58:15,usr_109e310a,M14,East Asian,Sriracha,1,1,4
2026-03-06 21:10:15,usr_d48d59d9,B15,Caribbean,Jollof Rice Seasoning,0,0,
2026-03-06 21:12:15,usr_03f0f662,B15,East Asian,Matcha Powder,1,1,1
2026-03-06 21:27:15,usr_5ac65226,M14,Middle Eastern,Tahini,1,1,3
2026-03-06 21:28:15,usr_77a201c9,NE3,East Asian,Soy Sauce,1,1,4
2026-03-06 21:30:15,usr_d93350ba,NE2,Caribbean,Coconut Milk,1,0,
2026-03-06 21:58:15,usr_c15764c3,B15,Middle Eastern,Pomegranate Molasses,1,1,5
2026-03-06 22:00:15,usr_aa82e43e,NE1,Nigerian,Ackee,1,1,5
2026-03-06 22:11:15,usr_abaa5e39,B1,Caribbean,Saltfish,1,1,5
2026-03-06 22:15:15,usr_dd343ecc,NE1,Nigerian,Palm Oil,1,0,
2026-03-06 22:22:15,usr_eb37e558,B15,Indian,Nori Seaweed,1,0,
2026-03-06 22:34:15,usr_875d2b4c,SW1A,East Asian,Sumac,0,0,
2026-03-06 22:35:15,usr_39ba5d03,B15,Caribbean,Ackee,1,0,
2026-03-06 22:54:15,usr_84740e75,B15,Middle Eastern,Tahini,1,0,
2026-03-06 23:18:15,usr_a8e1dd3e,M1,Indian,Basmati Rice,1,1,1
2026-03-06 23:30:15,usr_3d5f9920,M1,Indian,Paneer,1,1,5
2026-03-07 00:32:15,usr_711e6613,M14,Indian,Turmeric Powder,1,1,5
2026-03-07 00:51:15,usr_7149c1c3,M1,Caribbean,Scotch Bonnet Peppers,1,0,
2026-03-07 01:04:15,usr_83983c94,M1,Caribbean,Jerk Seasoning,1,0,
2026-03-07 01:12:15,usr_68387bb2,SW1A,Caribbean,Scotch Bonnet Peppers,1,0,
2026-03-07 01:12:15,usr_649cfad8,B15,Indian,Turmeric Powder,1,1,1
2026-03-07 01:15:15,usr_16f0435c,SW1A,Nigerian,Mochi,1,0,
2026-03-07 01:49:15,usr_fd14942c,E1,Nigerian,Maggi Cubes,1,1,5
2026-03-07 01:54:15,usr_dc66388b,M14,Indian,Scotch Bonnet Peppers,1,1,4
2026-03-07 02:00:15,usr_4aecda2e,M1,Nigerian,Palm Oil,1,0,
2026-03-07 02:07:15,usr_8da5a8cc,B1,East Asian,Nori Seaweed,1,0,
2026-03-07 02:20:15,usr_9007da83,B15,Caribbean,Pita Bread,1,0,
2026-03-07 02:32:15,usr_1c7dc221,B15,Middle Eastern,Pita Bread,1,1,4
2026-03-07 02:33:15,usr_e6ded808,NE3,East Asian,Sriracha,1,1,3
2026-03-07 02:38:15,usr_e498662e,M1,Indian,Mango Chutney,0,0,
2026-03-07 02:44:15,usr_0a56f056,SW1A,Caribbean,Scotch Bonnet Peppers,1,0,
2026-03-07 02:52:15,usr_eccf91c2,NE1,Nigerian,Mochi,0,0,
2026-03-07 02:58:15,usr_5f80abe5,M14,East Asian,Sriracha,1,1,4
2026-03-07 03:01:15,usr_5183e642,NE2,Caribbean,Saltfish,1,1,5
2026-03-07 03:06:15,usr_81914715,B1,Nigerian,Maggi Cubes,1,1,4
2026-03-07 03:11:15,usr_c9a58984,E1,Indian,Nori Seaweed,1,1,5
2026-03-07 03:17:15,usr_23bb0eaf,E1,East Asian,Soy Sauce,1,0,
2026-03-07 03:40:15,usr_ed614c68,M1,Caribbean,Saltfish,1,1,1
2026-03-07 03:53:15,usr_f4399572,B15,East Asian,Nori Seaweed,1,0,
2026-03-07 04:33:15,usr_72d31cdb,NE1,Indian,Turmeric Powder,1,1,5
2026-03-07 04:36:15,usr_612241e7,NE1,Middle Eastern,Ackee,0,0,
2026-03-07 04:57:15,usr_2d5ea6d6,NE2,East Asian,Mochi,1,0,
2026-03-07 05:13:15,usr_211fe95e,M14,East Asian,Sriracha,1,0,
2026-03-07 05:23:15,usr_b393b2ae,B15,Middle Eastern,Tahini,1,1,3
2026-03-07 05:24:15,usr_c2e57ff9,NE1,East Asian,Mochi,0,0,
2026-03-07 05:46:15,usr_98703d1e,M14,Middle Eastern,Plantain,1,0,
2026-03-07 05:51:15,usr_2ebe5612,B1,Nigerian,Cassava Flour,1,0,
2026-03-07 05:53:15,usr_44e5c19d,NE3,East Asian,Nori Seaweed,1,1,5
2026-03-07 05:59:15,usr_3fa400ab,B1,Caribbean,Coconut Milk,1,1,4
2026-03-07 06:01:15,usr_446e0ad9,SW1A,Nigerian,Cassava Flour,1,0,
2026-03-07 06:03:15,usr_2c862b79,NE3,Nigerian,Plantain,1,1,4
2026-03-07 06:11:15,usr_23e85aaf,NE3,Indian,Mango Chutney,1,1,4
2026-03-07 06:15:15,usr_151b036a,B1,Indian,Mango Chutney,1,1,4
2026-03-07 06:19:15,usr_3274897e,NE2,Nigerian,Scotch Bonnet Peppers,1,1,5
2026-03-07 06:19:15,usr_004ec41a,M1,Caribbean,Coconut Milk,1,1,4
2026-03-07 06:31:15,usr_e01f047b,M1,East Asian,Nori Seaweed,1,0,
2026-03-07 06:39:15,usr_1ae4bf9b,M1,Middle Eastern,Zaatar,1,1,5
2026-03-07 07:00:15,usr_a0825be0,M14,Indian,Paneer,1,1,3
2026-03-07 07:11:15,usr_dc9aaf1c,NE3,East Asian,Paneer,1,1,4
2026-03-07 07:22:15,usr_cdeca4e1,NE2,East Asian,Basmati Rice,1,0,
2026-03-07 07:36:15,usr_e31f374f,NE3,East Asian,Mochi,1,0,
2026-03-07 07:50:15,usr_e5ab7e5a,NE3,East Asian,Plantain,1,1,5
2026-03-07 07:54:15,usr_c1182bbb,M14,Middle Eastern,Pita Bread,1,1,4
2026-03-07 08:20:15,usr_edc36032,NE3,Caribbean,Jerk Seasoning,1,0,
2026-03-07 08:27:15,usr_8ec12c99,B15,Middle Eastern,Pita Bread,1,0,
2026-03-07 08:34:15,usr_17a505fd,B15,Indian,Turmeric Powder,1,0,
2026-03-07 08:48:15,usr_121f7982,E1,Indian,Paneer,1,0,
2026-03-07 08:49:15,usr_4106a23f,B15,Indian,Mango Chutney,0,0,
2026-03-07 09:11:15,usr_6b936340,NE1,Middle Eastern,Pomegranate Molasses,1,1,4
2026-03-07 09:32:15,usr_c103b90a,NE2,Caribbean,Jerk Seasoning,1,0,
2026-03-07 09:48:15,usr_28ec4fab,NE3,Indian,Turmeric Powder,1,1,4
2026-03-07 10:06:15,usr_a7da866d,M1,Caribbean,Ackee,0,0,
2026-03-07 10:12:15,usr_7c7120d9,NE3,Nigerian,Maggi Cubes,1,0,
2026-03-07 10:35:15,usr_33212980,M1,Middle Eastern,Tahini,1,0,
2026-03-07 11:01:15,usr_df4a07e2,NE1,Caribbean,Saltfish,1,1,3
2026-03-07 11:34:15,usr_cd503bf5,SW1A,Caribbean,Jerk Seasoning,1,1,5
2026-03-07 11:35:15,usr_079a3cae,M14,Nigerian,Cassava Flour,1,1,4
2026-03-07 11:37:15,usr_a13fec79,NE3,Caribbean,Jerk Seasoning,1,1,3
2026-03-07 11:58:15,usr_189cc303,M14,Caribbean,Ackee,1,1,5
2026-03-07 12:37:15,usr_e4979fc6,NE3,Indian,Basmati Rice,1,1,3
2026-03-07 12:41:15,usr_2d78c529,NE1,Nigerian,Maggi Cubes,1,1,3
2026-03-07 12:43:15,usr_51457c50,M14,Nigerian,Jollof Rice Seasoning,1,0,
2026-03-07 12:49:15,usr_9f821c05,E1,East Asian,Jollof Rice Seasoning,1,1,5
2026-03-07 13:15:15,usr_b58cf6d3,E1,Nigerian,Plantain,1,0,
2026-03-07 13:29:15,usr_52d5c01c,M1,Indian,Basmati Rice,1,1,5
2026-03-07 13:42:15,usr_10e8d2ea,NE3,Indian,Mango Chutney,1,1,4
2026-03-07 13:44:15,usr_16fa48e2,B1,East Asian,Mochi,1,0,
2026-03-07 13:56:15,usr_4d155cb5,M1,Indian,Turmeric Powder,1,1,3
2026-03-07 14:15:15,usr_00bae8f2,E1,Caribbean,Coconut Milk,1,1,5
2026-03-07 14:23:15,usr_8cccc2a3,SW1A,East Asian,Mochi,1,0,
2026-03-07 14:50:15,usr_347c9d5a,NE2,Indian,Turmeric Powder,1,1,3
2026-03-07 15:00:15,usr_d400dfb2,SW1A,Middle Eastern,Zaatar,1,1,5
2026-03-07 15:16:15,usr_e99724d8,NE3,Caribbean,Jerk Seasoning,1,1,4
2026-03-07 15:25:15,usr_a9ccab5b,E1,East Asian,Mochi,1,0,
2026-03-07 15:35:15,usr_9692417c,E1,East Asian,Nori Seaweed,1,0,
2026-03-07 15:41:15,usr_965326c7,B1,East Asian,Soy Sauce,0,0,
2026-03-07 16:14:15,usr_d753e9cf,SW1A,Nigerian,Maggi Cubes,1,1,5
2026-03-07 16:17:15,usr_e0df9284,NE1,Indian,Paneer,1,0,
2026-03-07 16:23:15,usr_1cda4cd0,NE3,Middle Eastern,Zaatar,1,1,3
2026-03-07 16:29:15,usr_d728233c,E1,Nigerian,Pita Bread,1,0,
2026-03-07 16:41:15,usr_e0e357ad,B15,East Asian,Sriracha,1,0,
2026-03-07 17:02:15,usr_67142053,NE2,Indian,Turmeric Powder,1,1,4
2026-03-07 17:21:15,usr_56be1488,NE2,Caribbean,Coconut Milk,1,1,5
2026-03-07 17:32:15,usr_1ad69cf4,E1,East Asian,Sriracha,1,1,4
